1620,1
1620,2
1620,3
1620,4
1620,5
1620,6
1621,1
1621,2
1621,3
1621,4
1621,5
1621,6
1672,1
1672,2
1672,3
1672,4
1672,5
1672,6
1971,1
1971,2
1971,3
1971,4
1971,5
1971,6
1981,1
1981,2
1981,3
1981,4
1981,5
1981,6
2781,1
2781,2
2781,3
2781,4
2781,5
2781,6
3465,1
3465,2
3465,3
3465,4
3465,5
3465,6
3471,1
3471,2
3471,3
3471,4
3471,5
3471,6
3511,1
3511,2
3511,3
3511,4
3511,5
3511,6
3512,1
3512,2
3512,3
3512,4
3512,5
3512,6
3513,1
3513,2
3513,3
3513,4
3513,5
3513,6
3514,1
3514,2
3514,3
3514,4
3514,5
3514,6
5017,1
5017,2
5017,3
5017,4
5017,5
5017,6
5037,1
5037,2
5037,3
5037,4
5037,5
5037,6
5312,1
5312,2
5312,3
5312,4
5312,5
5312,6
